# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:43:07.811   114°  screens=1  raw: 01 72 00
14:43:07.916   114°  screens=1  raw: 01 72 00
14:43:08.018   114°  screens=1  raw: 01 72 00
14:43:08.119   114°  screens=1  raw: 01 72 00
14:43:08.224   114°  screens=1  raw: 01 72 00
14:43:08.327   114°  screens=1  raw: 01 72 00
14:43:08.434   114°  screens=1  raw: 01 72 00
14:43:08.538   114°  screens=1  raw: 01 72 00
14:43:08.644   114°  screens=1  raw: 01 72 00
14:43:08.750   114°  screens=1  raw: 01 72 00
14:43:08.856   114°  screens=1  raw: 01 72 00
14:43:08.959   114°  screens=1  raw: 01 72 00
14:43:09.063   114°  screens=1  raw: 01 72 00
14:43:09.168   114°  screens=1  raw: 01 72 00
14:43:09.270   114°  screens=1  raw: 01 72 00
14:43:09.379   114°  screens=1  raw: 01 72 00
14:43:09.485   114°  screens=1  raw: 01 72 00
14:43:09.586   114°  screens=1  raw: 01 72 00
14:43:09.691   114°  screens=1  raw: 01 72 00
14:43:09.796   114°  screens=1  raw: 01 72 00
14:43:09.902   114°  screens=1  raw: 01 72 00
14:43:10.008   114°  screens=1  raw: 01 72 00
14:43:10.117   114°  screens=1  raw: 01 72 00
14:43:10.220   114°  screens=1  raw: 01 72 00
14:43:10.325   114°  screens=1  raw: 01 72 00
14:43:10.427   114°  screens=1  raw: 01 72 00
14:43:10.528   114°  screens=1  raw: 01 72 00
14:43:10.633   114°  screens=1  raw: 01 72 00
14:43:10.739   114°  screens=1  raw: 01 72 00
14:43:10.844   114°  screens=1  raw: 01 72 00
14:43:10.950   114°  screens=1  raw: 01 72 00
14:43:11.054   114°  screens=1  raw: 01 72 00
14:43:11.160   114°  screens=1  raw: 01 72 00
14:43:11.264   114°  screens=1  raw: 01 72 00
14:43:11.369   114°  screens=1  raw: 01 72 00
14:43:11.474   114°  screens=1  raw: 01 72 00
14:43:11.577   115°  screens=1  raw: 01 73 00
14:43:11.681   117°  screens=1  raw: 01 75 00
14:43:11.784   121°  screens=1  raw: 01 79 00
14:43:11.890   125°  screens=1  raw: 01 7d 00
14:43:11.996   126°  screens=1  raw: 01 7e 00
14:43:12.102   126°  screens=1  raw: 01 7e 00
14:43:12.207   126°  screens=1  raw: 01 7e 00
14:43:12.313   126°  screens=1  raw: 01 7e 00
14:43:12.420   126°  screens=1  raw: 01 7e 00
14:43:12.525   126°  screens=1  raw: 01 7e 00
14:43:12.629   126°  screens=1  raw: 01 7e 00
